TermReason,Department,EmploymentStatus,DateofTermination,DateofHire,PerformanceScore
N/A-StillEmployed,Production       ,Active,,7/5/2011,Exceeds
career change,IT/IS,Voluntarily Terminated,6/16/2016,3/30/2015,Fully Meets
hours,Production       ,Voluntarily Terminated,9/24/2012,7/5/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,1/7/2008,Fully Meets
return to school,Production       ,Voluntarily Terminated,9/6/2016,7/11/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,1/9/2012,Exceeds
N/A-StillEmployed,Software Engineering,Active,,11/10/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,9/30/2013,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/6/2009,Fully Meets
N/A-StillEmployed,IT/IS,Active,,1/5/2015,Fully Meets
Another position,Production       ,Voluntarily Terminated,1/12/2017,1/10/2011,Fully Meets
unhappy,Production       ,Voluntarily Terminated,9/19/2016,4/2/2012,Fully Meets
N/A-StillEmployed,IT/IS,Active,,11/10/2014,Exceeds
N/A-StillEmployed,Production       ,Active,,2/20/2012,Fully Meets
Another position,Production       ,Voluntarily Terminated,4/6/2017,9/24/2012,Fully Meets
attendance,Production       ,Terminated for Cause,8/4/2017,2/21/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/21/2016,Exceeds
N/A-StillEmployed,Production       ,Active,,4/4/2011,Fully Meets
performance,IT/IS,Terminated for Cause,9/12/2015,7/7/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/8/2013,Fully Meets
N/A-StillEmployed,Production       ,Active,,4/2/2012,Fully Meets
N/A-StillEmployed,Production       ,Active,,8/19/2013,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/7/2014,Exceeds
N/A-StillEmployed,Production       ,Active,,4/4/2011,Needs Improvement
career change,Production       ,Voluntarily Terminated,4/4/2014,1/10/2011,Fully Meets
Learned that he is a gangster,IT/IS,Terminated for Cause,2/19/2016,2/17/2014,Fully Meets
N/A-StillEmployed,Admin Offices,Active,,2/16/2015,Fully Meets
retiring,Production       ,Voluntarily Terminated,8/7/2014,9/30/2013,Fully Meets
Another position,Production       ,Voluntarily Terminated,6/15/2013,4/2/2012,Fully Meets
N/A-StillEmployed,Admin Offices,Active,,10/27/2008,Fully Meets
N/A-StillEmployed,Production       ,Active,,9/29/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,11/11/2013,Fully Meets
Another position,Sales,Voluntarily Terminated,8/2/2014,8/15/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,3/5/2012,Fully Meets
N/A-StillEmployed,Production       ,Active,,4/4/2011,Fully Meets
N/A-StillEmployed,Software Engineering,Active,,8/15/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,1/28/2016,Exceeds
N/A-StillEmployed,Software Engineering,Active,,11/11/2013,Fully Meets
N/A-StillEmployed,Production       ,Active,,3/31/2014,Fully Meets
N/A-StillEmployed,IT/IS,Active,,6/30/2016,Fully Meets
N/A-StillEmployed,Sales,Active,,8/18/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,9/29/2014,Fully Meets
N/A-StillEmployed,IT/IS,Active,,9/6/2016,Fully Meets
N/A-StillEmployed,Production       ,Active,,5/12/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/8/2013,Fully Meets
N/A-StillEmployed,Sales,Active,,5/14/2012,Fully Meets
relocation out of area,Production       ,Voluntarily Terminated,11/15/2015,6/27/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,10/3/2011,Fully Meets
N/A-StillEmployed,IT/IS,Active,,9/5/2012,Fully Meets
unhappy,Production       ,Voluntarily Terminated,1/7/2013,5/16/2011,Fully Meets
career change,Production       ,Voluntarily Terminated,9/26/2011,8/30/2010,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/6/2016,Exceeds
N/A-StillEmployed,Production       ,Active,,7/8/2013,Fully Meets
performance,Production       ,Terminated for Cause,9/23/2016,7/11/2011,Needs Improvement
N/A-StillEmployed,Production       ,Active,,7/20/2010,Needs Improvement
N/A-StillEmployed,Production       ,Active,,1/5/2009,Exceeds
N/A-StillEmployed,Production       ,Active,,1/5/2015,Fully Meets
N/A-StillEmployed,IT/IS,Active,,3/30/2015,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/6/2016,Fully Meets
N/A-StillEmployed,IT/IS,Active,,11/10/2014,Fully Meets
N/A-StillEmployed,Sales,Active,,5/5/2014,Fully Meets
N/A-StillEmployed,IT/IS,Active,,11/10/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/2/2012,Fully Meets
N/A-StillEmployed,Production       ,Active,,11/7/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/9/2018,Fully Meets
unhappy,Production       ,Voluntarily Terminated,6/8/2016,5/16/2011,Fully Meets
N/A-StillEmployed,Software Engineering,Active,,1/9/2012,Fully Meets
N/A-StillEmployed,Sales,Active,,9/29/2014,PIP
more money,Production       ,Voluntarily Terminated,11/4/2015,4/4/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/7/2014,PIP
N/A-StillEmployed,IT/IS,Active,,2/15/2017,Fully Meets
N/A-StillEmployed,Production       ,Active,,5/12/2014,Fully Meets
N/A-StillEmployed,Sales,Active,,2/20/2012,PIP
N/A-StillEmployed,Production       ,Active,,1/7/2013,Needs Improvement
N/A-StillEmployed,Production       ,Active,,4/2/2012,Fully Meets
N/A-StillEmployed,IT/IS,Active,,1/5/2015,Fully Meets
N/A-StillEmployed,IT/IS,Active,,1/5/2014,Exceeds
N/A-StillEmployed,Sales,Active,,1/10/2011,Exceeds
N/A-StillEmployed,Production       ,Active,,9/18/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,4/26/2010,Fully Meets
military,Production       ,Voluntarily Terminated,6/6/2017,4/4/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,11/10/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,3/31/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,7/7/2014,PIP
attendance,Production       ,Terminated for Cause,9/27/2018,4/2/2012,Needs Improvement
"no-call, no-show",Production       ,Terminated for Cause,2/25/2018,2/17/2014,Needs Improvement
attendance,Software Engineering,Terminated for Cause,6/5/2013,5/2/2011,Needs Improvement
N/A-StillEmployed,Production       ,Active,,7/7/2014,Fully Meets
N/A-StillEmployed,Production       ,Active,,2/17/2014,Fully Meets
military,Production       ,Voluntarily Terminated,5/17/2016,11/7/2011,Fully Meets
N/A-StillEmployed,Production       ,Active,,5/11/2015,PIP
N/A-StillEmployed,IT/IS,Active,,3/30/2015,PIP
N/A-StillEmployed,Production       ,Active,,1/9/2012,Fully Meets
hours,Production       ,Voluntarily Terminated,6/24/2013,5/16/2011,Fully Meets
